id;st;us   ;facies;forme;morphologie;aspect;longueur;largeur;epaisseur;poids;magnetisme
1;742;2eme_moitie;SAS;Irrégulière;Plano-Convexe;Lisse;34;34;25;15;Faible 
2;198;;SAS;Irrégulière;Irregulière;Régulier ;24;30;16;8;Aucun
3;742;us_2;SAS;Rond;Plano-Convexe;Régulier ;23;23;19;8;Aucun
4;397;us_3;SAS;Irrégulière;Irregulière;Régulier ;28;35;19;14;Aucun
5;408;;SAS;Irrégulière;Irregulière;Régulier ;15;27;14;4;Aucun
6;408;;SAS;Irrégulière;Irregulière;Régulier ;15;30;14;4;Aucun
7;397;us_2;SAS;Irrégulière;Irregulière;Régulier ;23;40;18;15;Aucun
8;397;us_2;SAS;Irrégulière;Irregulière;Régulier ;31;40;22;14;Aucun
9;742;2eme_moitie;SAS;Irrégulière;Irregulière;Lisse;30;33;23;17;Aucun
10;406;2eme_moitie;SAS;Rond;Aplatie;Régulier ;25;26;8;8;Aucun
11;406;2eme_moitie;SAS;Ovale Large;Bombo-convexe;Lisse;20;34;20;11;Aucun
12;420;us_2;SAS;Irrégulière;Aplatie;Déchiqueté;20;31;10;8;Aucun
13;403;surface;SAS;Ovale Large;Plano-Convexe;Régulier ;25;34;16;7;Aucun
14;405;us_7;SAS;Semi-circulaire;Bombo-convexe tronquée;Lisse;27;36;20;12;Aucun
15;405;us_7;SAS;Irrégulière;Irregulière;Lisse;24;37;17;10;Aucun
16;406;;SAS;Rond;Aplatie;Déchiqueté;34;31;22;15;Aucun
17;420;;SAS;Irrégulière;Irregulière;Régulier ;38;50;19;32;Aucun
18;407;;SAS;Irrégulière;Irregulière;Régulier ;28;33;22;18;Aucun
19;407;;SAS;Irrégulière;Irregulière;Régulier ;20;38;24;18;Aucun
20;407;;SAS;Ovale Large;Plano-Convexe;Lisse;19;35;24;20;Aucun
21;407;;SAS;Irrégulière;Aplatie;Lisse;33;40;16;14;Aucun
22;407;;SAS;Irrégulière;Aplatie;Lisse;20;32;16;10;Aucun
23;407;;SAS;Rond;Plano-Convexe;Déchiqueté;19;19;10;6;Aucun
24;407;;SAS;Ovale Large;Aplatie;Irrégulier;22;32;13;9;Aucun
25;407;;SAS;Ovale Large;Plano-Convexe;Déchiqueté;20;32;23;9;Aucun
26;407;;SAS;Ovale Large;Aplatie;Déchiqueté;25;34;14;9;Aucun
27;407;;SAS;Irrégulière;Irregulière;Déchiqueté;14;10;6;5;Aucun
28;420;;SAS;Rond;Plano-Convexe;Régulier ;32;32;19;14;Aucun
29;420;;SAS;Irrégulière;Irregulière;Régulier ;22;33;18;18;Aucun
30;420;;SAS;Ovale Large;Plano-Convexe;Irrégulier;20;36;19;10;Aucun
31;420;;SAS;Rond;Aplatie;Déchiqueté;23;31;15;6;Aucun
32;407;us_1 ;SAS;Rond;Plano-Convexe;Lisse;20;25;13;5;Aucun
33;407;us_1 ;SAS;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Lisse;20;33;28;11;Aucun
34;397;us_3;SAS;Rond;Plano-convexe tronquée;Lisse;24;24;16;6;Aucun
35;397;us_3;SAS;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Lisse;24;37;29;18;Aucun
36;397;us_3;SAS;Ovale Large;Plano-Convexe;Lisse;25;35;18;13;Aucun
37;397;us_3;SAS;Irrégulière;Irregulière;Lisse;27;33;20;9;Aucun
38;397;us_3;SAS;Irrégulière;Irregulière;Lisse;21;27;19;7;Aucun
39;407;;SAS;Irrégulière;Plano-Convexe;Régulier ;28;43;22;21;Aucun
40;407;;SAS;Irrégulière;Plano-Convexe;Lisse;22;30;18;11;Aucun
41;403;;SAS;Ovale Large;Plano-Convexe;Régulier ;43;74;22;57;Aucun
42;407;2eme_moitie;SAS;Ovale Long avec 1 bord d'appui rectiligne en TC;Plano-convexe tronquée;Irrégulier;54;57;48;102;Aucun
43;407;2eme_moitie;SAS;Ovale Long avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;42;30;26;28;Aucun
44;407;2eme_moitie;SAS;Rond;Aplatie;Déchiqueté;47;53;16;32;Aucun
45;407;2eme_moitie;SAS;Irrégulière;Irregulière;Régulier ;25;36;28;14;Aucun
46;407;2eme_moitie;SAS;Ovale Long avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Lisse;40;32;26;29;Aucun
47;407;2eme_moitie;SAS;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Lisse;18;41;25;16;Aucun
48;407;us_4;SAS;Irrégulière;Plano-Convexe;Lisse;31;38;21;10;Aucun
49;407;us_4;SAS;Semi-circulaire;Plano-Convexe;Lisse;20;35;19;10;Aucun
50;403;;SAS;Rond;Plano-Convexe;Régulier ;39;45;27;34;Aucun
51;403;;SAS;Ovale Large;Plano-Convexe;Régulier ;41;47;26;35;Aucun
52;403;;SAS;Ovale Large;Plano-Convexe;Lisse;38;42;18;19;Aucun
53;403;;SAS;Rond;Plano-Convexe;Régulier ;32;32;24;19;Aucun
54;403;;SAS;Irrégulière;Irregulière;Lisse;24;26;12;8;Aucun
55;403;;SAS;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Lisse;26;31;20;15;Aucun
56;403;;SAS;Ovale Large;Plano-Convexe;Lisse;30;40;22;24;Aucun
57;403;;SAS;Irrégulière;Irregulière;Lisse;27;25;22;10;Aucun
58;403;;SAS;Irrégulière;Plano-Convexe;Lisse;37;50;26;31;Aucun
59;403;;SAS;Irrégulière;Irregulière;Régulier ;25;50;24;13;Aucun
60;403;;SAS;Irrégulière;Irregulière;Régulier ;29;37;25;15;Aucun
61;403;;SAS;Irrégulière;Plano-Convexe;Irrégulier;27;27;26;13;Aucun
62;403;;SAS;Irrégulière;Irregulière;Lisse;30;40;18;16;Aucun
63;403;;SAS;Rond;Plano-Convexe;Irrégulier;22;23;14;4;Aucun
64;403;;SAS;Ovale Large;Concavo-convexe;Régulier ;51;30;16;19;Aucun
65;403;;SAS;Irrégulière;Irregulière;Lisse;29;35;21;15;Aucun
66;403;;SAS;Ovale Large;Plano-Convexe;Lisse;54;58;26;56;Aucun
67;403;;SAS;Ovale Large avec 1 bord d'appui rectiligne;Plano-convexe tronquée;Régulier ;25;44;28;19;Aucun
68;403;;SAS;Rond;Concavo-convexe;Régulier ;27;33;18;12;Aucun
69;403;;SAS;Irrégulière;Irregulière;Lisse;17;34;18;8;Aucun
70;180;2eme_moitie;SFR;Ovale Large;Plano-Convexe;Régulier ;40;63;30;115;Fort
71;742;2eme_moitie;SFR;Ovale Large;Plano-Convexe;Régulier ;40;51;31;65;Local
72;405;;SFR;Ovale Long;Plano-Convexe;Régulier ;90;75;64;380;Local
73;405;;SFR;Ovale Large avec 2 bord d'appui rectiligne;Plano-Convexe;Régulier ;51;73;32;95;Faible 
74;405;;SFR;Ovale Large;Plano-Convexe;Régulier ;30;62;21;30;Faible 
75;405;;SFR;Ovale Large avec 2 bord d'appui rectiligne ;Plano-Convexe;Régulier ;70;90;60;370;Local
76;570;;SFR;Ovale Large;Concavo-convexe;Régulier ;60;92;52;265;Faible 
77;192;us_noire;SFR;Ovale Long;Bombo-convexe;Irrégulier;29;46;36;30;Faible 
78;180;;SFR;Ovale Large;Plano-Convexe;Régulier ;17;30;12;10;Local
79;192;us_1;SFR;Ovale Large;Plano-Convexe;Régulier ;62;85;47;175;Local
80;192;us_1;SFR;Ovale Large;Plano-Convexe;Régulier ;52;60;30;100;Fort
